INSERT into coach values(650, 66, 'f3', '3A');
INSERT into coach values(439, 60, 'f3', '3C');
INSERT into coach values(804, 58, 'f1', '2A');
INSERT into coach values(862, 56, 'f1', '3B');
INSERT into coach values(808, 49, 'f2', '2B');
INSERT into coach values(848, 69, 'f3', '3A');
INSERT into coach values(538, 90, 'f3', '2A');
INSERT into coach values(559, 58, 'f1', '3A');
INSERT into coach values(316, 51, 'f3', '2B');
INSERT into coach values(315, 49, 'f1', '3B');
INSERT into coach values(883, 59, 'f2', '1A');
INSERT into coach values(768, 79, 'f3', '3B');
INSERT into coach values(489, 73, 'f1', '3A');
INSERT into coach values(173, 89, 'f2', '2A');
INSERT into coach values(877, 40, 'f3', '2C');
INSERT into coach values(724, 64, 'f4', '2B');
INSERT into coach values(532, 41, 'f2', '1B');
INSERT into coach values(220, 41, 'f4', '1C');
INSERT into coach values(707, 67, 'f2', '2B');
INSERT into coach values(701, 43, 'f4', '3C');
INSERT into coach values(416, 48, 'f2', '2C');
INSERT into coach values(744, 60, 'f1', '3C');
INSERT into coach values(438, 80, 'f3', '2B');
INSERT into coach values(610, 75, 'f2', '3A');
INSERT into coach values(973, 68, 'f1', '3A');
INSERT into coach values(565, 87, 'f4', '2A');
INSERT into coach values(663, 88, 'f3', '2C');
INSERT into coach values(276, 62, 'f1', '3C');
INSERT into coach values(393, 65, 'f1', '1C');
INSERT into coach values(774, 64, 'f2', '2B');
INSERT into coach values(565, 78, 'f2', '2B');
INSERT into coach values(431, 90, 'f1', '3A');
INSERT into coach values(150, 58, 'f2', '2C');
INSERT into coach values(260, 84, 'f4', '2A');
INSERT into coach values(278, 65, 'f1', '3C');
INSERT into coach values(233, 79, 'f4', '1B');
INSERT into coach values(267, 69, 'f4', '3B');
INSERT into coach values(548, 90, 'f3', '3A');
INSERT into coach values(143, 50, 'f3', '1B');
INSERT into coach values(609, 45, 'f1', '3B');
INSERT into coach values(123, 69, 'f4', '2B');
INSERT into coach values(201, 78, 'f2', '3C');
INSERT into coach values(850, 68, 'f2', '2A');
INSERT into coach values(693, 89, 'f1', '3C');
INSERT into coach values(190, 67, 'f2', '1B');
INSERT into coach values(246, 80, 'f1', '3B');
INSERT into coach values(362, 43, 'f3', '1B');
INSERT into coach values(367, 89, 'f4', '3B');
INSERT into coach values(612, 81, 'f3', '3A');
INSERT into coach values(172, 67, 'f3', '2A');
INSERT into coach values(579, 75, 'f3', '3B');
INSERT into coach values(522, 84, 'f3', '2B');
INSERT into coach values(601, 64, 'f4', '3B');
INSERT into coach values(193, 81, 'f2', '3A');
INSERT into coach values(149, 81, 'f1', '2A');
INSERT into coach values(134, 81, 'f1', '3B');
INSERT into coach values(253, 55, 'f1', '2A');
INSERT into coach values(462, 87, 'f2', '1B');
INSERT into coach values(304, 64, 'f2', '3A');
INSERT into coach values(689, 58, 'f3', '2B');
INSERT into coach values(667, 50, 'f2', '3A');
INSERT into coach values(494, 74, 'f1', '1B');
INSERT into coach values(672, 54, 'f3', '1B');
INSERT into coach values(859, 67, 'f4', '2A');
INSERT into coach values(152, 67, 'f4', '1A');
INSERT into coach values(110, 57, 'f3', '1B');
INSERT into coach values(927, 62, 'f2', '3C');
INSERT into coach values(145, 86, 'f3', '2C');
INSERT into coach values(353, 70, 'f1', '2C');
INSERT into coach values(686, 45, 'f2', '1C');
INSERT into coach values(654, 63, 'f1', '1A');
INSERT into coach values(770, 45, 'f2', '1B');
INSERT into coach values(855, 89, 'f3', '3B');
INSERT into coach values(321, 77, 'f1', '2A');
INSERT into coach values(822, 59, 'f1', '3A');
INSERT into coach values(395, 40, 'f4', '1C');
INSERT into coach values(720, 69, 'f4', '3C');
INSERT into coach values(440, 84, 'f2', '1B');
INSERT into coach values(898, 80, 'f4', '2C');
INSERT into coach values(776, 54, 'f1', '3A');
INSERT into coach values(537, 80, 'f2', '3C');
INSERT into coach values(183, 45, 'f2', '2C');
INSERT into coach values(228, 57, 'f4', '1C');
INSERT into coach values(384, 90, 'f4', '3B');
INSERT into coach values(515, 89, 'f2', '1B');
INSERT into coach values(901, 79, 'f4', '1C');
INSERT into coach values(490, 66, 'f3', '1C');
INSERT into coach values(698, 46, 'f4', '3B');
INSERT into coach values(525, 50, 'f2', '3C');
INSERT into coach values(207, 41, 'f2', '1B');
INSERT into coach values(206, 51, 'f2', '1C');
INSERT into coach values(405, 85, 'f4', '3C');
INSERT into coach values(589, 57, 'f3', '1C');
INSERT into coach values(971, 88, 'f1', '1B');
INSERT into coach values(906, 75, 'f3', '1C');
INSERT into coach values(946, 59, 'f3', '2C');
INSERT into coach values(396, 83, 'f2', '3B');
INSERT into coach values(841, 56, 'f3', '1A');
INSERT into coach values(994, 48, 'f1', '1A');
INSERT into coach values(487, 44, 'f1', '3B');
INSERT into coach values(893, 42, 'f1', '3B');
INSERT into coach values(476, 45, 'f2', '2B');
INSERT into coach values(645, 67, 'f4', '1A');
INSERT into coach values(291, 60, 'f3', '1B');
INSERT into coach values(390, 86, 'f1', '3B');
INSERT into coach values(851, 81, 'f3', '2A');
INSERT into coach values(218, 49, 'f1', '3C');
INSERT into coach values(304, 71, 'f4', '3A');
INSERT into coach values(188, 88, 'f1', '1A');
INSERT into coach values(449, 76, 'f1', '2C');
INSERT into coach values(853, 60, 'f1', '2A');
INSERT into coach values(821, 89, 'f4', '3B');
INSERT into coach values(478, 86, 'f2', '2A');
INSERT into coach values(726, 68, 'f4', '3B');
INSERT into coach values(753, 80, 'f3', '3B');
INSERT into coach values(163, 89, 'f2', '1C');
INSERT into coach values(264, 87, 'f3', '3B');
INSERT into coach values(680, 49, 'f1', '1A');
INSERT into coach values(964, 64, 'f4', '2A');
INSERT into coach values(819, 84, 'f3', '3B');
INSERT into coach values(427, 61, 'f4', '1B');
INSERT into coach values(607, 73, 'f3', '3A');
INSERT into coach values(839, 81, 'f2', '3A');
INSERT into coach values(317, 65, 'f1', '1B');
