INSERT into engine values(58321, 'electric');
INSERT into engine values(70709, 'diesel');
INSERT into engine values(62559, 'diesel');
INSERT into engine values(96720, 'coal');
INSERT into engine values(27857, 'diesel');
INSERT into engine values(69098, 'steam');
INSERT into engine values(29323, 'diesel');
INSERT into engine values(74328, 'electric');
INSERT into engine values(88959, 'coal');
INSERT into engine values(72381, 'diesel');
INSERT into engine values(81856, 'electric');
INSERT into engine values(72370, 'coal');
INSERT into engine values(84488, 'steam');
INSERT into engine values(21887, 'diesel');
INSERT into engine values(50557, 'steam');
INSERT into engine values(54054, 'diesel');
INSERT into engine values(33309, 'electric');
INSERT into engine values(27581, 'diesel');
INSERT into engine values(40945, 'electric');
INSERT into engine values(75891, 'diesel');
INSERT into engine values(78226, 'electric');
INSERT into engine values(83880, 'electric');
INSERT into engine values(30937, 'coal');
INSERT into engine values(24124, 'coal');
INSERT into engine values(83842, 'coal');
INSERT into engine values(46100, 'diesel');
INSERT into engine values(64569, 'steam');
INSERT into engine values(40685, 'coal');
INSERT into engine values(31789, 'steam');
INSERT into engine values(34244, 'diesel');
INSERT into engine values(39352, 'electric');
INSERT into engine values(21487, 'diesel');
INSERT into engine values(23875, 'electric');
INSERT into engine values(11820, 'diesel');
INSERT into engine values(68633, 'electric');
INSERT into engine values(13208, 'coal');
INSERT into engine values(86040, 'electric');
INSERT into engine values(88062, 'coal');
INSERT into engine values(89176, 'diesel');
INSERT into engine values(11035, 'electric');
INSERT into engine values(38167, 'coal');
INSERT into engine values(90836, 'coal');
INSERT into engine values(51221, 'steam');
INSERT into engine values(79224, 'coal');
INSERT into engine values(11171, 'diesel');
INSERT into engine values(23174, 'electric');
INSERT into engine values(20702, 'diesel');
INSERT into engine values(82355, 'diesel');
INSERT into engine values(59320, 'steam');
INSERT into engine values(63311, 'electric');
INSERT into engine values(60410, 'steam');
INSERT into engine values(10724, 'electric');
INSERT into engine values(77796, 'coal');
INSERT into engine values(96173, 'coal');
INSERT into engine values(44468, 'coal');
INSERT into engine values(14323, 'electric');
INSERT into engine values(34702, 'diesel');
INSERT into engine values(54981, 'steam');
INSERT into engine values(33799, 'electric');
INSERT into engine values(75526, 'diesel');
INSERT into engine values(86937, 'electric');
INSERT into engine values(88745, 'coal');
INSERT into engine values(97252, 'diesel');
INSERT into engine values(45350, 'steam');
INSERT into engine values(91703, 'electric');
INSERT into engine values(51198, 'steam');
INSERT into engine values(38326, 'steam');
INSERT into engine values(30200, 'diesel');
INSERT into engine values(51901, 'diesel');
INSERT into engine values(76918, 'steam');
INSERT into engine values(56725, 'diesel');
INSERT into engine values(91694, 'steam');
INSERT into engine values(49230, 'steam');
INSERT into engine values(43995, 'steam');
INSERT into engine values(29490, 'coal');
INSERT into engine values(83514, 'electric');
INSERT into engine values(50497, 'steam');
INSERT into engine values(17965, 'steam');
INSERT into engine values(29167, 'diesel');
INSERT into engine values(65248, 'electric');
INSERT into engine values(11914, 'coal');
INSERT into engine values(22187, 'steam');
INSERT into engine values(92678, 'steam');
INSERT into engine values(15806, 'coal');
INSERT into engine values(23076, 'electric');
INSERT into engine values(91706, 'steam');
INSERT into engine values(48825, 'diesel');
INSERT into engine values(18531, 'diesel');
INSERT into engine values(48460, 'electric');
INSERT into engine values(38526, 'electric');
INSERT into engine values(96025, 'diesel');
INSERT into engine values(34869, 'coal');
INSERT into engine values(16252, 'steam');
INSERT into engine values(77647, 'electric');
INSERT into engine values(45896, 'steam');
INSERT into engine values(65594, 'coal');
INSERT into engine values(16107, 'electric');
INSERT into engine values(20152, 'electric');
INSERT into engine values(84228, 'electric');
INSERT into engine values(20818, 'coal');
