INSERT into station values('GFIJ', ' qcfnxiplbz qvzqr krlko', 'Gggwqtzzjnrasihvgoqxfatv', 1);
INSERT into station values('IJGX', null, 'Wigiqxpolshyudyfyygzrclm', 4);
INSERT into station values('DHIZ', null, 'Okxumotzytokiltmlasxzlkn', 12);
INSERT into station values('QLYO', null, 'Bcctrysirhbohlkpmjegiurz', 5);
INSERT into station values('KHWY', null, 'Igepdfcgfngqvangfzzbxhmi', 4);
INSERT into station values('DCPQ', null, 'Fqroynossuzqydkcvbsxnmon', 9);
INSERT into station values('THZM', 'yt mkucrz gxvgwqoqnbtfr', 'Fzwoegzpzdvcjijgcdcmmcvm', 1);
INSERT into station values('MSGL', 'pvtmgdmrqzbtqhsgklggwy ', 'Dpnirwtycvdzelpombirlywv', 5);
INSERT into station values('LZTN', 'hkrznpmbqav bkshsyajyoz', 'Nvjykeanibrlvaalxwfavjoa', 9);
INSERT into station values('OELC', null, 'Gulfcakvbzlhrrqcylntpged', 10);
INSERT into station values('RUBX', 'vqgocxxgmjayxwxfupsebqj', 'Apwgcywrevghaymhevohqwrn', 8);
INSERT into station values('GPHV', null, 'Vmoqwaviquudtwgdskrostkd', 8);
INSERT into station values('QUFL', 'lwdpnxqmxxjylparpaafnsm', 'Zsepvijgkjkqtktlpgbenqtu', 10);
INSERT into station values('LPQS', 'wlmyictvagl lqqhdjlwtnr', 'Idgsnfxxkwbwuqddfzuffhxc', 5);
INSERT into station values('IRWO', 'onpacrgcxynqxjljsfmjhyt', 'Oukhkflanuivzybopgllrwtn', 1);
INSERT into station values('DMPB', 'cfwvbztqqmb afzotfymltn', 'Lhnxmecgjaxwvoestghepnyu', 1);
INSERT into station values('PKVQ', 'fjyegmcprvpyfmukiihozmc', 'Cpplkqttsgiifujrqsoafouz', 1);
INSERT into station values('HWWQ', null, 'Vroruxajbwpqxayopqjohquj', 11);
INSERT into station values('VHZR', null, 'Utwosvdtrvhndanljthaiqpk', 12);
INSERT into station values('HZFN', null, 'Nwzedzfwpigvusyalrekxsla', 9);
INSERT into station values('RZFG', 'ylyv wlqvkzlcluirzmmhd ', 'Hddvrcwxdqbggnsgwrseoakf', 7);
INSERT into station values('APDL', null, 'Ehkarifqdnkuwicbgdonqqqd', 3);
INSERT into station values('ZOFM', 'lia vwhkzwxnadsvuvzfwde', 'Fhtbyhrcteihekhpfmnasecb', 10);
INSERT into station values('QNQY', null, 'Sujhuqobxwuawyfwpxmaogik', 9);
INSERT into station values('GIXO', null, 'Mcjicqinelhkplraxiwzxbbb', 2);
INSERT into station values('VRGZ', 'z halng hjcixasftekvehr', 'Qdgrqlrdhjnvtzlszpdsrvcg', 3);
INSERT into station values('FBZR', 'sxgfame colwslaaowkcskd', 'Pqwcxtexchinwiqlohacjinu', 7);
INSERT into station values('EBTM', null, 'Lcdecxdltvwwdfwsvkwcefun', 2);
INSERT into station values('YSXY', null, 'Fqdochfmxvyijirakxhbpwja', 12);
INSERT into station values('NXTQ', 'xhttajqncwctllgjofjivmo', 'Qanbaqpqrjehnjvuglsjbhkf', 8);
INSERT into station values('ECEJ', null, 'Bimxizuxinyvuvpoenebqyiu', 9);
INSERT into station values('VFHQ', 'bwlvquzqxubbrhbhqmsy qq', 'Ggbahaihgghyurtyfebtdrhi', 5);
INSERT into station values('LILC', null, 'Setsnfwdamdvyglotogzfuhz', 4);
INSERT into station values('XGJU', 'klnaxwzfpavutdrhacvdmrb', 'Miptupfzbmggtwezsosodkvi', 8);
INSERT into station values('PGMK', null, 'Zyjishfwckhjqzdindbmxxeo', 12);
INSERT into station values('TBYY', 'hrfslvxnevxdmansuhdxpyk', 'Eldbujfgixyxmvansqrdelvq', 5);
INSERT into station values('SVDS', null, 'Rxskpenyrecgzaaqxjmswzjq', 2);
INSERT into station values('ODTN', null, 'Aicqpcuygxfklcxplpthprne', 6);
INSERT into station values('IWCU', 'kx tabybwbp fztzxgbcerp', 'Tnssetmyesrsgrijrxxospsj', 8);
INSERT into station values('SNWD', null, 'Hgxbffuhlyiwvxmijijgobqg', 5);
INSERT into station values('UTKK', 'wcyldmypqbzteaklsnowbnt', 'Oxmuefrxdqdwayeempptsjud', 1);
INSERT into station values('TDTZ', 'ahrhe reldgjmnfosqmatix', 'Crucehjufwkvxghiuipxmpmt', 5);
INSERT into station values('FIJG', 'ggjacshxhsdiqlngzkwpvjv', 'Vpwevbfyuxeyendmebcxeqev', 1);
INSERT into station values('INON', null, 'Wdiqodmegrerjimukzqdmolf', 12);
INSERT into station values('LYOR', 'dekxqenpwshfaecjoikxqwv', 'Iokhysdbweyonqypjinflhze', 5);
INSERT into station values('KNWV', null, 'Qxtpnqeduakkhuqvynpveqnw', 12);
INSERT into station values('ZHSU', null, 'Jrpgbziaqqxtrbarpfglpgwz', 6);
INSERT into station values('NYHO', null, 'Fhpcqdnfriyqcgqgcwexpgaf', 2);
INSERT into station values('WGER', null, 'Eehztrrwymwmtdswlcwbiwit', 8);
INSERT into station values('WVAP', 'ucmihhhqtvxxosadybwxvbm', 'Oouoemswmpvwqzppgfrntfgm', 12);
INSERT into station values('EYVB', null, 'Lcxspcokmzykcvugyddjckxx', 6);
INSERT into station values('VQKI', null, 'Ykpeehyoryrmhqqxuvkviusf', 11);
INSERT into station values('TLIM', 'nmwpxlblxp zyzjefjtwibw', 'Fpvtwnuzpppwiifeqwgvtvbe', 1);
INSERT into station values('KFRE', null, 'Emanlkuzefwmrrajkmwncmgt', 1);
INSERT into station values('DEWG', null, 'Vpjlreintibwjfodqjjuwswx', 8);
INSERT into station values('XVTC', null, 'Ipwdqpofhddxcloaazaddhoz', 3);
INSERT into station values('WWLP', null, 'Duhmtopwyguoribwpsfrrsfh', 1);
INSERT into station values('JBOT', 'lbvgizxrod eqjefkgswjpi', 'Tstfmzhxjhevipbykcucbict', 6);
INSERT into station values('EPRQ', null, 'Oylqmitlrxyfbywgokhhczet', 8);
INSERT into station values('AMWH', 'alrkwuyocmhpzscpxktafuf', 'Qevxhdwfmapdqbuvpxgtqzfv', 5);
INSERT into station values('ECQH', 'nxiinsinwqbdwzkxqjqypiv', 'Nvjpmnxrsiitnugfgzczyhod', 11);
INSERT into station values('SJMZ', null, 'Jtawhhzchrsftfdwvihbvbom', 10);
INSERT into station values('UIIC', null, 'Rvjgbodkycjkvkeyotstwzoo', 2);
INSERT into station values('FRLR', 'bhrloturzrlzzveougosarh', 'Rvpyhqmtkiebdmqdgjvouhnd', 5);
INSERT into station values('GNQF', 'hp auyqtuwzdisnuqjkvbn ', 'Mxvyfhzyitvhmvddfgaxxnpu', 2);
INSERT into station values('KHLL', null, 'Aqdpjljvwwitlnkzjnlzvyyj', 12);
INSERT into station values('QRYB', null, 'Dqtujepnmmvnhftyesqvibzi', 4);
INSERT into station values('PAMV', null, 'Pjpneaotiwfhquobfkvphmkw', 1);
INSERT into station values('WKDF', null, 'Cidxaokqqgrvwjobrirslnns', 4);
INSERT into station values('UJFG', null, 'Fqxfnzkllemnvsvgvoeneggr', 5);
INSERT into station values('BCHD', 'lkqttkukddr t zkxwfgng ', 'Pdaovzkaruhrqlnudmqyxyzk', 4);
INSERT into station values('VNZM', 'grjeocozorbbqg ozdpprkp', 'Rlzytksilzzntakwueqixvrb', 8);
INSERT into station values('YWUS', null, 'Vxshpdqxpekgolmycvpuliak', 8);
INSERT into station values('VIQK', 'jhsklly xu qyktia zehra', 'Exzculmzvvjfskavlyqncwei', 1);
INSERT into station values('FIYL', null, 'Mlyqvswthddsyzbkatckvnnw', 3);
INSERT into station values('AFHV', null, 'Rrqpqvlscfnbjwqaejdopdwx', 8);
INSERT into station values('HETQ', null, 'Wajecwkexcybzmcdpfcfnubj', 12);
INSERT into station values('SKJM', ' p twadkzjkxdsqjhkfxuez', 'Dmqedtusgscvpychjzzauuza', 2);
INSERT into station values('XFOW', null, 'Emmyafsijdnboquutzyzykfo', 12);
INSERT into station values('QVGO', null, 'Duokpntcuvgjosflettsbotf', 1);
INSERT into station values('MOFS', null, 'Ehftadxrlypwybrzjzuvcmdw', 9);
INSERT into station values('VFFP', null, 'Joqxtqgnzdxbhvbwtwgyjiia', 11);
INSERT into station values('WPXM', 'fgrrdidcnyqlzzfsyiiplup', 'Dniofqporopevgcevntkhaqd', 2);
INSERT into station values('HCEU', 'bsihpzzdzaoblxwlazlp kj', 'Zlesgbvjnfvluyaaudawqggo', 11);
INSERT into station values('XWSQ', null, 'Gahwwkeazokzhfoqqcsatirt', 7);
INSERT into station values('PLZT', 'eilnwsjuosvnvdar thiyxw', 'Ygyhaljhanuntqwbafhriskg', 3);
INSERT into station values('TVTZ', 'ewvnlqvxznzbnnm bwm dqx', 'Idjzcgapjpucbelvsutlpwdv', 10);
INSERT into station values('PAOX', null, 'Obmacusuccneturxszoeyegu', 3);
INSERT into station values('NELD', 'frlductxtuglkbvezfiskkd', 'Njhqirdsalzlaxjufkndtyxn', 5);
INSERT into station values('SNHM', 'disesicavwitoyxahrxdkgl', 'Qpzcxvaleinjrebkqkclzwmx', 9);
INSERT into station values('VBPG', null, 'Rsrrjvmbbnhysqtmnltpnieo', 5);
INSERT into station values('MHLV', null, 'Itisqqwvvlretiwmgtzvxckd', 2);
INSERT into station values('AKOQ', 'xmsotmnkmmffgcctbignwrz', 'Znhpdunjvqpnawtoysbqxdcy', 8);
INSERT into station values('HECI', 'bfmhulidipucvqfcojgfyyl', 'Pkdsawytbuutkdrakmcdyyyg', 5);
INSERT into station values('LOGA', null, 'Miswnymegqvgmfqxcorhywus', 3);
INSERT into station values('ZVVB', 'pkocpgnhthpbikx jbxhzdu', 'Zlmxxepwmlwlbnudynhjqfaa', 1);
INSERT into station values('PXWL', null, 'Kzrdltltfniohqzjvebiyrmb', 5);
INSERT into station values('FEIS', 'idatpbec blsfpo lpdqyyj', 'Czsmuekaiercbcskyubpjueb', 2);
INSERT into station values('PUBY', null, 'Xhdqodfnloaufckghmfuuihy', 12);
INSERT into station values('EZKQ', 'wqrtshjosmzxizioanflavb', 'Hwbtqmskigtdtoiijjsrbmbs', 6);
